Rank,Player,FTA
1.,Karl Malone*,13188
2.,LeBron James,12051
3.,Wilt Chamberlain*,11862
4.,Shaquille O'Neal*,11252
5.,Moses Malone*,11090
6.,Kobe Bryant*,10011
7.,James Harden,10002
8.,Dwight Howard*,9455
9.,Kareem Abdul-Jabbar*,9304
10.,Oscar Robertson*,9185
11.,Jerry West*,8801
12.,Michael Jordan*,8772
13.,Kevin Durant,8738
14.,Charles Barkley*,8643
15.,Paul Pierce*,8578
16.,Tim Duncan*,8468
17.,Adrian Dantley*,8351
18.,Dirk Nowitzki*,8239
19.,DeMar DeRozan,8209
20.,David Robinson*,8201
21.,Allen Iverson*,8168
22.,Bob Pettit*,8119
23.,Walt Bellamy*,8088
24.,Elvin Hayes*,7999
25.,Russell Westbrook,7928
26.,Dolph Schayes*,7904
27.,Carmelo Anthony*,7764
28.,Hakeem Olajuwon*,7621
29.,Giannis Antetokounmpo,7491
30.,Dwyane Wade*,7463
31.,Dominique Wilkins*,7438
32.,Elgin Baylor*,7391
33.,Patrick Ewing*,7289
34.,Reggie Miller*,7026
35.,Lenny Wilkens*,6973
36.,John Havlicek*,6589
37.,Chet Walker*,6384
38.,Pau Gasol*,6311
39.,Tom Chambers,6274
40.,World B. Free,6264
41.,Bailey Howell*,6224
42.,Kevin Garnett*,6190
43.,Paul Arizin*,6189
44.,Jimmy Butler,6120
45.,Vince Carter*,6082
46.,Buck Williams,5979
47.,Clyde Drexler*,5962
48.,Alonzo Mourning*,5862
49.,Damian Lillard,5853
50.,Magic Johnson*,5850
51.,Shawn Kemp,5805
52.,John Stockton*,5796
53.,John Drew,5774
54.,Artis Gilmore*,5768
55.,Tiny Archibald*,5760
56.,Bob Cousy*,5756
57.,Hal Greer*,5717
58.,Robert Parish*,5694
59.,Dave Bing*,5683
60.,Jerry Stackhouse,5659
61.,Reggie Theus,5644
62.,Anthony Davis,5627
63.,Bill Russell*,5614
64.,Otis Thorpe,5612
65.,Corey Maggette,5599
66.,Chris Bosh*,5591
67.,Detlef Schrempf,5585
68.,Chris Paul,5581
69.,Richie Guerin*,5549
70.,Grant Hill*,5498
71.,Bernard King*,5444
,Amar'e Stoudemire,5444
73.,Dick Van Arsdale,5385
74.,George Gervin*,5383
75.,Mitch Richmond*,5365
76.,Gail Goodrich*,5354
77.,Isiah Thomas*,5316
78.,Bob McAdoo*,5229
79.,Tracy McGrady*,5202
80.,Clifford Robinson,5165
81.,Alex English*,5141
82.,Nate Thurmond*,5089
83.,Jack Sikma*,5053
84.,Chauncey Billups*,5029
85.,Andre Miller,4975
86.,Dikembe Mutombo*,4960
87.,Julius Erving*,4950
88.,Mark Aguirre,4944
89.,Shareef Abdur-Rahim,4943
90.,Elton Brand,4929
,Ed Macauley*,4929
92.,Ray Allen*,4920
93.,Joel Embiid,4873
94.,Antawn Jamison,4860
95.,Bob Lanier*,4858
96.,Larry Foust,4816
97.,Stephon Marbury,4804
98.,Lou Williams,4803
99.,Rod Strickland,4759
100.,Dan Issel*,4756
101.,Dennis Johnson*,4754
102.,Paul Silas,4748
103.,Billy Cunningham*,4717
104.,Terry Cummings,4711
105.,Kevin Johnson,4691
106.,James Edwards,4666
107.,Stephen Curry,4645
108.,Richard Jefferson,4639
109.,Cedric Maxwell,4592
,Zach Randolph,4592
111.,LaMarcus Aldridge,4563
112.,Devin Booker,4562
113.,Kevin McHale*,4554
114.,Tony Parker*,4525
115.,Earl Monroe*,4513
116.,Blake Griffin,4508
117.,Orlando Woolridge,4501
118.,Kyle Lowry,4484
119.,Gary Payton*,4480
120.,Larry Bird*,4471
121.,Neil Johnston*,4447
122.,Rudy Gobert,4439
123.,Scottie Pippen*,4437
124.,Bill Cartwright,4412
125.,DeMarcus Cousins,4411
126.,Kevin Love,4390
127.,Luka Doncic,4349
128.,Pete Maravich*,4344
129.,Derrick Coleman,4326
130.,Jack Twyman*,4325
131.,Dick Barnett*,4324
132.,Sidney Moncrief*,4319
133.,Julius Randle,4312
134.,Rolando Blackman,4309
135.,Rudy LaRusso,4308
136.,Latrell Sprewell,4298
137.,Sam Perkins,4292
138.,Jamal Crawford,4286
139.,Paul George,4271
140.,A.C. Green,4250
141.,Rick Barry*,4243
142.,Kevin Willis,4238
143.,Walt Frazier*,4226
,Johnny Green,4226
,Tom Van Arsdale,4226
146.,Jermaine O'Neal,4208
147.,Paul Millsap,4190
148.,Chris Mullin*,4178
149.,Vlade Divac*,4176
150.,Harry Gallatin*,4167
151.,Sam Cassell,4144
152.,Terry Porter,4107
153.,Kevin Martin,4091
154.,Manu Ginóbili*,4089
155.,Happy Hairston,4080
156.,Mickey Johnson,4066
157.,Joe Dumars*,4059
158.,Nikola Jokic,4030
159.,Juwan Howard,4014
160.,Bob Boozer,3998
161.,Kiki Vandeweghe,3997
162.,Andre Iguodala,3994
163.,Hersey Hawkins,3985
164.,Johnny Newman,3984
165.,Rony Seikaly,3961
166.,Lou Hudson*,3960
167.,Sidney Wicks,3955
168.,Jason Kidd*,3954
169.,Brook Lopez,3939
170.,George Mikan*,3924
171.,Chris Webber*,3906
172.,Rudy Gay,3898
173.,Armen Gilliam,3896
174.,Larry Nance,3892
175.,Vern Mikkelsen*,3874
176.,Ricky Pierce,3871
177.,Nenê,3864
,Calvin Murphy*,3864
179.,Shai Gilgeous-Alexander,3857
180.,Elden Campbell,3832
181.,Bill Bridges,3824
182.,Glen Rice,3813
183.,Karl-Anthony Towns,3811
184.,Richard Hamilton,3805
185.,Ron Harper,3799
186.,Eddie Johnson,3792
187.,Vin Baker,3787
188.,Andre Drummond,3780
189.,Trae Young,3776
190.,Spencer Haywood*,3766
191.,Josh Smith,3748
192.,DeAndre Jordan,3745
193.,Don Nelson*,3744
194.,Wayne Embry*,3741
195.,Dave DeBusschere*,3730
196.,Bob Love,3728
197.,Cliff Hagan*,3722
,Kawhi Leonard,3722
199.,Tyson Chandler,3714
200.,Mychal Thompson,3707
201.,Randy Smith,3705
202.,Dan Roundfield,3702
203.,Red Kerr,3682
204.,Walter Davis*,3676
205.,Andrei Kirilenko,3675
206.,Brad Daugherty,3670
207.,Antonio Davis,3668
208.,Kelly Tripucka,3660
209.,Mike Conley,3652
210.,Marc Gasol,3625
,Steve Smith,3625
212.,David Thompson*,3616
213.,Christian Laettner,3604
,Andrew Wiggins,3604
215.,Lamar Odom,3599
216.,Metta World Peace,3596
217.,Gilbert Arenas,3584
218.,Sam Jones*,3572
219.,George McGinnis*,3559
,Bill Sharman*,3559
221.,Truck Robinson,3556
222.,Charles Oakley,3522
223.,Gerald Wallace,3517
224.,Danilo Gallinari,3511
,Anthony Mason,3511
226.,Devin Harris,3507
227.,Deron Williams,3502
228.,Jeff Green,3495
229.,Steve Francis,3494
230.,Sleepy Floyd,3493
231.,Carl Braun*,3484
232.,Bradley Beal,3475
233.,Joe Johnson,3468
,John Wall,3468
235.,Monta Ellis,3463
236.,Danny Schayes,3461
237.,Jalen Rose,3457
238.,Mike Newlin,3456
239.,Arnie Risen*,3451
240.,Joe Graboski,3447
241.,George Yardley*,3434
242.,Derek Harper,3426
243.,Maurice Lucas,3399
244.,Eddie Jones,3394
245.,Jeff Hornacek,3390
246.,Steve Nash*,3384
247.,Jeff Malone,3383
248.,Bob Dandridge*,3382
249.,Harrison Barnes,3373
250.,Dale Ellis,3365
,Jerry Lucas*,3365


"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">Basketball-Reference.com</a>: <a href=""https://www.basketball-reference.com/leaders/fta_career.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#nba"">View Original Table</a><br>Generated 6/4/2026."
