Rk,Player,G
1.,LeBron James,1622
2.,Robert Parish*,1611
3.,Kareem Abdul-Jabbar*,1560
4.,Vince Carter*,1541
5.,Dirk Nowitzki*,1522
6.,John Stockton*,1504
7.,Karl Malone*,1476
8.,Kevin Garnett*,1462
9.,Kevin Willis,1424
10.,Jason Terry,1410
11.,Tim Duncan*,1392
12.,Jason Kidd*,1391
13.,Reggie Miller*,1389
14.,Clifford Robinson,1380
15.,Chris Paul,1370
16.,Kobe Bryant*,1346
17.,Paul Pierce*,1343
18.,Gary Payton*,1335
19.,Moses Malone*,1329
20.,Jamal Crawford,1327
21.,Buck Williams,1307
22.,Andre Miller,1304
23.,Elvin Hayes*,1303
24.,Russell Westbrook,1301
25.,Ray Allen*,1300
26.,Mark Jackson,1296
27.,Derek Fisher,1287
28.,Sam Perkins,1286
29.,Charles Oakley,1282
30.,A.C. Green,1278
31.,Joe Johnson,1277
32.,Terry Porter,1274
33.,John Havlicek*,1270
34.,DeMar DeRozan,1264
35.,Carmelo Anthony*,1260
36.,Otis Thorpe,1257
37.,Tony Parker*,1254
,Paul Silas,1254
39.,Jeff Green,1247
40.,Dwight Howard*,1242
41.,Hakeem Olajuwon*,1238
42.,Kyle Korver,1232
43.,Andre Iguodala,1231
44.,Mike Conley,1226
,Pau Gasol*,1226
46.,James Harden,1221
47.,Steve Nash*,1217
48.,Dale Ellis,1209
49.,Juwan Howard,1208
50.,Shaquille O'Neal*,1207
51.,Nicolas Batum,1205
52.,Kevin Durant,1201
53.,Derek Harper,1199
,Eddie Johnson,1199
55.,Dikembe Mutombo*,1196
56.,Alex English*,1193
57.,Kyle Lowry,1187
58.,Terry Cummings,1183
,Patrick Ewing*,1183
,Al Horford,1183
61.,Richard Jefferson,1181
62.,Brook Lopez,1180
63.,Scottie Pippen*,1178
64.,Thaddeus Young,1172
65.,James Edwards,1168
66.,Horace Grant,1165
67.,Shawn Marion,1163
68.,Tyson Chandler,1160
69.,Johnny Newman,1159
70.,Tree Rollins,1156
71.,Jerome Kersey,1153
72.,Michael Cage,1140
73.,Danny Schayes,1138
74.,Detlef Schrempf,1136
75.,Vlade Divac*,1134
76.,DeAndre Jordan,1123
,Lou Williams,1123
78.,Hal Greer*,1122
79.,Rudy Gay,1120
80.,Trevor Ariza,1118
81.,Rick Mahorn,1117
82.,Zach Randolph,1116
83.,Kurt Thomas,1110
84.,Rasheed Wallace,1109
85.,Tom Chambers,1107
,Robert Horry,1107
,Jack Sikma*,1107
88.,Michael Finley,1103
89.,Herb Williams,1102
90.,Maurice Cheeks*,1101
91.,Dennis Johnson*,1100
92.,Zaza Pachulia,1098
93.,Dale Davis,1094
,Rod Strickland,1094
95.,Jrue Holiday,1090
,Mark West,1090
97.,P.J. Brown,1089
98.,Ben Wallace*,1088
99.,Clyde Drexler*,1086
100.,Paul Millsap,1085
101.,Dell Curry,1083
,Antawn Jamison,1083
103.,Jeff Hornacek,1077
,Lenny Wilkens*,1077
105.,LaMarcus Aldridge,1076
106.,Dominique Wilkins*,1074
107.,Charles Barkley*,1073
,Byron Scott,1073
109.,Michael Jordan*,1072
,Marvin Williams,1072
111.,Harrison Barnes,1070
112.,Stephen Curry,1069
113.,Caldwell Jones,1068
,Bill Laimbeer,1068
115.,Tyrone Corbin,1065
116.,Boris Diaw,1064
117.,Elton Brand,1058
,Olden Polynice,1058
119.,Manu Ginóbili*,1057
,Johnny Green,1057
121.,Avery Johnson,1054
,Dwyane Wade*,1054
123.,Don Nelson*,1053
124.,Shawn Kemp,1051
125.,Rashard Lewis,1049
126.,Leroy Ellis,1048
127.,Wilt Chamberlain*,1045
128.,Elden Campbell,1044
129.,Walt Bellamy*,1043
,Chauncey Billups*,1043
131.,Danny Ainge,1042
132.,Oscar Robertson*,1040
133.,Nikola Vu?evi?,1036
134.,David West,1034
135.,Walter Davis*,1033
,Tobias Harris,1033
137.,Mike Miller,1032
,Chet Walker*,1032
139.,Gail Goodrich*,1031
140.,Joe Smith,1030
141.,Grant Hill*,1026
,Reggie Theus,1026
143.,Joe Dumars*,1018
144.,Tayshaun Prince,1017
145.,Antonio McDyess,1015
146.,Taj Gibson,1012
147.,Jermaine O'Neal,1011
148.,Ron Harper,1009
149.,Nazr Mohammed,1005
150.,Grant Long,1003
151.,Sam Lacey,1002
,Calvin Murphy*,1002
,Jonas Valan?i?nas,1002
154.,Stacey Augmon,1001
,Mike Bibby,1001
156.,Glen Rice,1000
157.,Hedo Türko?lu,997
158.,Dolph Schayes*,996
159.,Sam Mitchell,994
160.,Sam Cassell,993
,T.R. Dunn,993
162.,Robin Lopez,992
163.,Metta World Peace,991
164.,Kevin Love,989
165.,Alvan Adams,988
166.,Antoine Carr,987
,Erick Dampier,987
,David Robinson*,987
169.,Mike Dunleavy,986
,Wesley Matthews,986
,Chris Mullin*,986
172.,Devin Harris,985
,LaSalle Thompson,985
174.,Wayne Cooper,984
,Vinnie Johnson,984
,Wes Unseld*,984
177.,Hersey Hawkins,983
178.,Al Harrington,981
179.,Rolando Blackman,980
180.,Isiah Thomas*,979
181.,Shane Battier,977
,J.R. Smith,977
183.,D.J. Augustin,976
,Mitch Richmond*,976
,Randy Smith,976
186.,Marcus Camby,973
187.,Dick Barnett*,971
,Raymond Felton,971
,Kevin McHale*,971
190.,Jerry Stackhouse,970
191.,Ricky Pierce,969
192.,Andre Drummond,967
193.,Kendall Gill,966
194.,Nenê,965
,Joe Kleine,965
196.,Dick Snyder,964
,Nate Thurmond*,964
198.,Fred Brown,963
,Kentavious Caldwell-Pope,963
,Bill Cartwright,963
,Bill Russell*,963
202.,Brad Davis,961
,Lamar Odom,961
204.,Bob Lanier*,959
205.,James Donaldson,957
,Sleepy Floyd,957
,Donyell Marshall,957
,Rajon Rondo,957
209.,Adrian Dantley*,955
,Dan Majerle,955
211.,Eddie Jones,954
212.,Alton Lister,953
213.,Sedale Threatt,951
214.,Bailey Howell*,950
215.,Draymond Green,949
,David Wesley,949
217.,Goran Dragi?,946
,Rickey Green,946
219.,Paul George,945
