Rank,Player,PTS
1.,LeBron James,43440
2.,Kareem Abdul-Jabbar*,38387
3.,Karl Malone*,36928
4.,Kobe Bryant*,33643
5.,Kevin Durant,32597
6.,Michael Jordan*,32292
7.,Dirk Nowitzki*,31560
8.,Wilt Chamberlain*,31419
9.,James Harden,29339
10.,Shaquille O'Neal*,28596
11.,Carmelo Anthony*,28289
12.,Moses Malone*,27409
13.,Elvin Hayes*,27313
14.,Russell Westbrook,27176
15.,Hakeem Olajuwon*,26946
16.,DeMar DeRozan,26711
17.,Oscar Robertson*,26710
18.,Dominique Wilkins*,26668
19.,Stephen Curry,26528
20.,Tim Duncan*,26496
21.,Paul Pierce*,26397
22.,John Havlicek*,26395
23.,Kevin Garnett*,26071
24.,Vince Carter*,25728
25.,Alex English*,25613
26.,Reggie Miller*,25279
27.,Jerry West*,25192
28.,Patrick Ewing*,24815
29.,Ray Allen*,24505
30.,Allen Iverson*,24368
31.,Charles Barkley*,23757
32.,Robert Parish*,23334
33.,Adrian Dantley*,23177
34.,Dwyane Wade*,23165
35.,Elgin Baylor*,23149
36.,Chris Paul,23058
37.,Damian Lillard,22598
38.,Clyde Drexler*,22195
39.,Gary Payton*,21813
40.,Larry Bird*,21791
41.,Hal Greer*,21586
42.,Giannis Antetokounmpo,21531
43.,Walt Bellamy*,20941
44.,Pau Gasol*,20894
45.,Bob Pettit*,20880
46.,David Robinson*,20790
47.,George Gervin*,20708
48.,LaMarcus Aldridge,20558
49.,Mitch Richmond*,20497
50.,Joe Johnson,20407
51.,Tom Chambers,20049
52.,Antawn Jamison,20042
53.,John Stockton*,19711
54.,Bernard King*,19655
55.,Clifford Robinson,19591
56.,Walter Davis*,19521
57.,Dwight Howard*,19485
58.,Tony Parker*,19473
59.,Terry Cummings,19460
60.,Jamal Crawford,19419
61.,Anthony Davis,19385
62.,Paul George,19338
63.,Bob Lanier*,19248
64.,Eddie Johnson,19202
65.,Gail Goodrich*,19181
66.,Reggie Theus,19015
67.,Dale Ellis,19004
68.,Scottie Pippen*,18940
69.,Jason Terry,18881
70.,Chet Walker*,18831
71.,Isiah Thomas*,18822
72.,Bob McAdoo*,18787
73.,Zach Randolph,18578
74.,Mark Aguirre,18458
75.,Dolph Schayes*,18438
76.,Kyrie Irving,18433
77.,Rick Barry*,18395
78.,Tracy McGrady*,18381
79.,Julius Erving*,18364
80.,Glen Rice,18336
81.,Dave Bing*,18327
82.,Brook Lopez,18151
83.,Devin Booker,18120
84.,Nikola Jokic,18009
85.,World B. Free,17955
86.,Calvin Murphy*,17949
87.,Lou Hudson*,17940
88.,Chris Mullin*,17911
89.,Lenny Wilkens*,17772
90.,Bailey Howell*,17770
91.,Magic Johnson*,17707
92.,Shawn Marion,17700
93.,Nikola Vucevic,17684
94.,Rudy Gay,17642
95.,Rolando Blackman,17623
96.,Otis Thorpe,17600
97.,Jason Kidd*,17529
98.,Earl Monroe*,17454
99.,Steve Nash*,17387
100.,Klay Thompson,17346
101.,Kevin McHale*,17335
102.,Bradley Beal,17306
,Michael Finley,17306
104.,Jrue Holiday,17287
,Jack Sikma*,17287
106.,Kevin Willis,17253
107.,Jeff Malone,17231
108.,Chris Bosh*,17189
109.,Chris Webber*,17182
110.,Grant Hill*,17137
111.,Bob Cousy*,16960
112.,CJ McCollum,16838
113.,Elton Brand,16827
114.,Buck Williams,16784
115.,Mike Conley,16715
116.,Latrell Sprewell,16712
117.,Jimmy Butler,16658
118.,Kawhi Leonard,16546
119.,Tiny Archibald*,16481
120.,Tobias Harris,16440
121.,Jerry Stackhouse,16409
122.,Joe Dumars*,16401
123.,Karl-Anthony Towns,16384
124.,Kyle Lowry,16373
125.,James Worthy*,16320
126.,Stephon Marbury,16297
127.,Andre Miller,16278
128.,Paul Arizin*,16266
129.,Randy Smith,16262
130.,Juwan Howard,16159
131.,Derek Harper,16006
,Rasheed Wallace,16006
133.,Amar'e Stoudemire,15994
134.,Kiki Vandeweghe,15980
135.,Pete Maravich*,15948
136.,Jack Twyman*,15840
137.,Chauncey Billups*,15802
138.,Detlef Schrempf,15761
139.,Richard Hamilton,15708
140.,Larry Nance,15687
141.,Kevin Love,15669
142.,Jeff Hornacek,15659
143.,Antoine Walker,15647
144.,Sam Cassell,15635
145.,Lou Williams,15593
146.,Terry Porter,15586
147.,Walt Frazier*,15581
148.,Artis Gilmore*,15579
,Rashard Lewis,15579
150.,Dennis Johnson*,15535
151.,Bob Dandridge*,15530
152.,Sam Jones*,15411
153.,Tim Hardaway*,15373
