Rank,Player,DRB
1.,Kevin Garnett*,11453
2.,Karl Malone*,11406
3.,Tim Duncan*,11232
4.,Dwight Howard*,10476
5.,LeBron James,10253
6.,Robert Parish*,10117
7.,Dirk Nowitzki*,10021
8.,Hakeem Olajuwon*,9714
9.,Moses Malone*,9481
10.,Kareem Abdul-Jabbar*,9394
11.,Shaquille O'Neal*,8890
12.,Patrick Ewing*,8855
13.,Dikembe Mutombo*,8551
14.,Buck Williams,8491
15.,Charles Barkley*,8286
16.,Charles Oakley,8281
17.,Jack Sikma*,8274
18.,Pau Gasol*,8220
19.,Nikola Vucevic,8148
20.,Kevin Willis,7769
21.,DeAndre Jordan,7644
22.,Dennis Rodman*,7625
23.,Bill Laimbeer,7581
24.,Andre Drummond,7548
25.,Kevin Durant,7473
26.,Rudy Gobert,7469
27.,Kevin Love,7441
28.,David Robinson*,7414
29.,Shawn Marion,7369
30.,Larry Bird*,7217
31.,Giannis Antetokounmpo,7185
32.,Ben Wallace*,7038
33.,Elvin Hayes*,6973
34.,Russell Westbrook,6971
35.,Jason Kidd*,6957
36.,Al Horford,6949
37.,Tyson Chandler,6938
38.,Zach Randolph,6929
39.,Otis Thorpe,6924
40.,Marcus Camby,6902
41.,Nikola Jokic,6802
42.,Artis Gilmore*,6522
43.,Anthony Davis,6489
44.,Vlade Divac*,6445
45.,Paul Pierce*,6435
46.,Jonas Valanciunas,6393
47.,Lamar Odom,6238
48.,Carlos Boozer,6155
49.,A.C. Green,6119
50.,Karl-Anthony Towns,5990
51.,Horace Grant,5976
52.,LaMarcus Aldridge,5960
53.,James Harden,5898
54.,Chris Webber*,5853
55.,Rasheed Wallace,5826
56.,Carmelo Anthony*,5825
57.,Shawn Kemp,5808
58.,Elton Brand,5736
59.,Chris Bosh*,5665
60.,Al Jefferson,5636
61.,Caldwell Jones,5621
62.,Antawn Jamison,5600
63.,Kobe Bryant*,5548
64.,Bob McAdoo*,5502
65.,Julius Randle,5482
66.,Terry Cummings,5447
67.,Draymond Green,5443
68.,James Donaldson,5432
69.,Scottie Pippen*,5426
70.,Michael Cage,5419
71.,P.J. Brown,5407
72.,Kurt Thomas,5406
73.,Maurice Lucas,5401
74.,Anthony Mason,5367
75.,Sam Perkins,5342
76.,Paul Millsap,5330
77.,Dale Davis,5302
78.,Domantas Sabonis,5283
79.,Truck Robinson,5282
80.,Jermaine O'Neal,5270
81.,Tobias Harris,5267
82.,Sam Lacey,5226
83.,Chris Paul,5208
84.,Marc Gasol,5193
85.,David Lee,5170
86.,Antonio McDyess,5160
87.,Derrick Coleman,5153
88.,Detlef Schrempf,5152
89.,Rick Mahorn,5143
90.,Dave Cowens*,5122
91.,Paul George,5110
92.,Mark Eaton,5082
93.,Juwan Howard,5080
94.,Larry Nance,5053
95.,Michael Jordan*,5004
96.,Antoine Walker,4997
97.,Grant Hill*,4993
98.,Wes Unseld*,4974
99.,DeMarcus Cousins,4972
100.,Magic Johnson*,4958
101.,Alonzo Mourning*,4953
102.,Vince Carter*,4948
103.,Josh Smith,4936
104.,Andre Iguodala,4929
105.,Alvan Adams,4922
106.,Herb Williams,4885
107.,Bob Lanier*,4853
108.,Rudy Gay,4836
109.,David West,4806
110.,Brook Lopez,4802
111.,Dan Roundfield,4798
112.,Kevin McHale*,4764
113.,Tom Chambers,4761
114.,Clint Capela,4738
115.,Larry Smith,4724
116.,Mychal Thompson,4722
117.,Clarence Weatherspoon,4720
118.,Samuel Dalembert,4653
119.,Marcin Gortat,4648
120.,Blake Griffin,4622
121.,Serge Ibaka,4619
122.,Dave Greenwood,4616
123.,Benoit Benjamin,4604
124.,Amar'e Stoudemire,4603
125.,Tree Rollins,4602
126.,LaSalle Thompson,4566
127.,DeMar DeRozan,4564
128.,Nicolas Batum,4540
129.,Brad Miller,4491
130.,Donyell Marshall,4478
131.,Tyrone Hill,4458
132.,Clifford Robinson,4454
133.,Antonio Davis,4432
134.,Mike Gminski,4398
135.,Olden Polynice,4380
136.,Shareef Abdur-Rahim,4370
137.,Andrew Bogut,4358
138.,Bam Adebayo,4341
139.,Troy Murphy,4335
140.,Thaddeus Young,4318
141.,Bill Cartwright,4294
142.,Stephen Curry,4287
143.,Armen Gilliam,4284
144.,Erick Dampier,4282
,Rony Seikaly,4282
146.,Trevor Ariza,4275
147.,Marvin Williams,4270
148.,Mickey Johnson,4264
149.,Elden Campbell,4236
150.,Dominique Wilkins*,4219
151.,James Edwards,4200
152.,Joel Embiid,4197
153.,Christian Laettner,4185
154.,Udonis Haslem,4176
155.,Alton Lister,4152
156.,Nenê,4140
157.,Kawhi Leonard,4132
158.,Joe Smith,4119
159.,Chris Kaman,4095
160.,Kyle Lowry,4078
161.,Jusuf Nurkic,4063
162.,Clyde Drexler*,4062
163.,Ray Allen*,4042
164.,Mason Plumlee,4037
165.,Dan Issel*,4021
166.,Brad Daugherty,4020
167.,Rashard Lewis,4015
168.,Emeka Okafor,4013
169.,Jerome Kersey,4009
170.,Luol Deng,4006
171.,Tom Gugliotta,3994
172.,Joe Johnson,3992
173.,Al Harrington,3987
