Rank,Player,ORB
1.,Moses Malone*,6731
2.,Robert Parish*,4598
3.,Buck Williams,4526
4.,Dennis Rodman*,4329
5.,Charles Barkley*,4260
6.,Shaquille O'Neal*,4209
7.,Dwight Howard*,4151
8.,Kevin Willis,4132
9.,Hakeem Olajuwon*,4034
10.,Andre Drummond,3965
11.,Charles Oakley,3924
12.,Tim Duncan*,3859
13.,Dikembe Mutombo*,3808
14.,Karl Malone*,3562
15.,Tyson Chandler,3529
16.,Horace Grant,3467
17.,Otis Thorpe,3446
18.,Ben Wallace*,3444
19.,Larry Smith,3401
20.,A.C. Green,3354
21.,Elton Brand,3304
22.,Dale Davis,3303
23.,Zach Randolph,3279
24.,Michael Cage,3227
25.,DeAndre Jordan,3217
26.,Kevin Garnett*,3209
27.,Terry Cummings,3183
28.,Rudy Gobert,3103
29.,Pau Gasol*,3085
30.,David Robinson*,3083
31.,Shawn Kemp,3026
32.,P.J. Brown,3002
33.,Kareem Abdul-Jabbar*,2975
34.,Dominique Wilkins*,2950
35.,Steven Adams,2910
36.,Vlade Divac*,2881
37.,Bill Laimbeer,2819
38.,Alex English*,2778
,Elvin Hayes*,2778
40.,LaMarcus Aldridge,2776
41.,Patrick Ewing*,2752
42.,Shawn Marion,2732
43.,Olden Polynice,2730
44.,Erick Dampier,2723
45.,Jonas Valanciunas,2659
46.,Artis Gilmore*,2639
47.,Clyde Drexler*,2615
48.,Marcus Camby,2611
49.,Clint Capela,2592
50.,Nikola Vucevic,2559
51.,Antawn Jamison,2557
52.,Jack Sikma*,2542
53.,Tristan Thompson,2509
54.,Antonio McDyess,2478
55.,Joe Smith,2456
56.,Dan Roundfield,2445
57.,Zydrunas Ilgauskas,2444
58.,Tyrone Hill,2396
59.,Zaza Pachulia,2362
60.,Kevin McHale*,2358
61.,Juwan Howard,2348
62.,Paul Millsap,2343
63.,Jerome Kersey,2330
64.,Sam Perkins,2324
65.,Antonio Davis,2323
66.,Larry Nance,2299
67.,Thaddeus Young,2296
68.,Samuel Dalembert,2289
69.,Kevin Love,2271
,Chris Webber*,2271
71.,Vin Baker,2263
72.,Chris Dudley,2234
73.,Mychal Thompson,2229
74.,Enes Freedom,2223
75.,Al Horford,2213
76.,Brook Lopez,2208
77.,Adrian Dantley*,2207
78.,Mickey Johnson,2201
79.,Alonzo Mourning*,2184
80.,Nikola Jokic,2175
81.,Grant Long,2168
82.,John Drew,2158
83.,David Lee,2150
84.,Wayne Cooper,2149
85.,Anthony Davis,2148
,Tree Rollins,2148
87.,Robin Lopez,2147
88.,Taj Gibson,2144
89.,Rony Seikaly,2142
90.,Joakim Noah,2141
91.,Clarence Weatherspoon,2126
92.,LaSalle Thompson,2123
93.,Maurice Lucas,2119
94.,Armen Gilliam,2117
95.,Cedric Maxwell,2108
96.,Jeff Foster,2101
97.,Wes Unseld*,2085
98.,Mike Gminski,2082
,Xavier McDaniel,2082
100.,Brendan Haywood,2081
101.,Derrick Coleman,2079
102.,Hot Rod Williams,2070
103.,Scottie Pippen*,2068
104.,Julius Erving*,2067
105.,James Donaldson,2060
106.,Al Jefferson,2054
,Russell Westbrook,2054
108.,Caldwell Jones,2042
109.,Carlos Boozer,2037
110.,Paul Silas,2035
,Karl-Anthony Towns,2035
112.,Amar'e Stoudemire,2029
113.,Alvan Adams,2015
114.,Jermaine O'Neal,1991
115.,Truck Robinson,1985
116.,Reggie Evans,1984
117.,Carmelo Anthony*,1983
118.,George Johnson,1960
119.,Emeka Okafor,1954
120.,Tom Chambers,1942
121.,Derrick Favors,1933
122.,Chris Bosh*,1927
123.,Kurt Thomas,1922
124.,Dave Greenwood,1921
125.,Anthony Mason,1912
126.,Donyell Marshall,1898
127.,Serge Ibaka,1894
,Antoine Walker,1894
129.,Elden Campbell,1880
130.,Drew Gooden,1878
131.,Rich Kelley,1872
132.,Detlef Schrempf,1871
133.,Shareef Abdur-Rahim,1869
134.,Mark Eaton,1857
135.,Clifford Robinson,1852
136.,Alton Lister,1844
137.,Bob Lanier*,1843
138.,LeBron James,1842
139.,Brian Grant,1834
140.,Marques Johnson,1825
141.,Lamar Odom,1821
142.,Danny Schayes,1819
143.,Bob McAdoo*,1818
144.,Rick Mahorn,1814
145.,Domantas Sabonis,1813
146.,Bill Cartwright,1812
147.,Nazr Mohammed,1808
148.,James Edwards,1804
149.,Greg Monroe,1799
150.,Larry Johnson,1794
151.,Eddie Johnson,1786
152.,Mark West,1785
153.,David West,1784
154.,Mason Plumlee,1783
155.,Cliff Levingston,1772
156.,Jason Kidd*,1768
157.,Nick Collison,1766
158.,Jarrett Allen,1763
159.,Marcin Gortat,1759
160.,Larry Bird*,1757
161.,Andrew Bogut,1754
162.,Dave Corzine,1747
163.,Shawn Bradley,1743
164.,T.R. Dunn,1729
165.,Tyrone Corbin,1726
166.,Amir Johnson,1723
167.,Jakob Poeltl,1718
168.,Josh Smith,1717
169.,Brad Miller,1708
170.,Mark Aguirre,1704
,Bernard King*,1704
172.,Ivica Zubac,1698
173.,Giannis Antetokounmpo,1697
174.,DeMarcus Cousins,1692
175.,Joe Barry Carroll,1690
176.,Nenê,1688
,Lorenzen Wright,1688
178.,Dan Issel*,1686
179.,Bo Outlaw,1685
180.,Ervin Johnson,1677
181.,Michael Jordan*,1668
182.,Jim Brewer,1660
183.,Vince Carter*,1658
184.,Clifford Ray,1657
185.,Bismack Biyombo,1654
186.,Sam Lacey,1647
187.,Rodney McCray,1645
188.,Robert Horry,1644
189.,Kurt Rambis,1640
190.,Mike Bantom,1632
191.,Jamaal Wilkes*,1627
192.,JaVale McGee,1624
,Herb Williams,1624
194.,Popeye Jones,1623
195.,Christian Laettner,1621
,Alvin Robertson,1621
197.,Wayman Tisdale,1617
198.,Udonis Haslem,1615
199.,Terry Tyler,1609
200.,Hassan Whiteside,1608
201.,Magic Johnson*,1601
,George McGinnis*,1601
203.,Tom Gugliotta,1595
204.,Ed Davis,1590
205.,Jayson Williams,1587
206.,Jusuf Nurkic,1581
207.,Rasheed Wallace,1578
208.,Dave Cowens*,1574
209.,James Worthy*,1561
210.,Theo Ratliff,1543
211.,Julius Randle,1541
212.,Mike Mitchell,1539
,Sidney Wicks,1539
214.,Swen Nater,1538
215.,Dale Ellis,1533
216.,Rik Smits,1531
217.,Jimmy Butler,1529
218.,Roy Hibbert,1527
219.,Danny Manning,1523
220.,Kermit Washington,1522
221.,Chris Morris,1516
222.,Derrick McKey,1515
223.,Rasho Nesterovic,1513
224.,Anderson Varejão,1511
225.,George Lynch,1508
226.,Kenny Carr,1506
227.,Phil Hubbard,1502
,Scott Wedman,1502
229.,Kobe Bryant*,1499
230.,Al Harrington,1495
231.,Spencer Haywood*,1493
232.,Blake Griffin,1487
,Chris Kaman,1487
,Ed Pinckney,1487
235.,Mitchell Robinson,1484
236.,Loy Vaught,1482
237.,Terry Catledge,1479
238.,Greg Ostertag,1475
239.,Dirk Nowitzki*,1468
240.,Kenneth Faried,1465
241.,Luol Deng,1462
242.,Benoit Benjamin,1459
,Dennis Johnson*,1459
244.,Dwight Jones,1456
245.,Vinnie Johnson,1451
246.,Billy Owens,1449
247.,Jerome Williams,1448
248.,Rudy Gay,1447
,Kenny Thomas,1447
250.,Fat Lever,1442


"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">Basketball-Reference.com</a>: <a href=""https://www.basketball-reference.com/leaders/orb_career.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#nba"">View Original Table</a><br>Generated 6/4/2026."
