Rank,Player,TOV
1.,LeBron James,5650
2.,Russell Westbrook,5038
3.,Karl Malone*,4524
4.,James Harden,4505
5.,John Stockton*,4244
6.,Kobe Bryant*,4010
7.,Jason Kidd*,4003
8.,Moses Malone*,3804
9.,Kevin Durant,3800
10.,Isiah Thomas*,3682
11.,Hakeem Olajuwon*,3667
12.,Patrick Ewing*,3537
13.,Paul Pierce*,3532
14.,Magic Johnson*,3506
15.,Reggie Theus,3493
16.,Steve Nash*,3478
17.,Tim Duncan*,3381
18.,Charles Barkley*,3376
19.,Dwyane Wade*,3326
20.,Shaquille O'Neal*,3310
21.,Stephen Curry,3308
22.,Dwight Howard*,3302
23.,Allen Iverson*,3262
24.,Scottie Pippen*,3257
25.,Robert Parish*,3183
26.,Kevin Garnett*,3179
27.,Mark Jackson,3155
28.,Andre Miller,3121
29.,Chris Paul,3109
30.,Carmelo Anthony*,3052
31.,Gary Payton*,3030
32.,Clyde Drexler*,2977
33.,Michael Jordan*,2924
34.,Tony Parker*,2865
35.,Rod Strickland,2862
36.,Alex English*,2821
37.,Jrue Holiday,2819
38.,Larry Bird*,2816
39.,Bernard King*,2791
40.,Charles Oakley,2785
41.,Buck Williams,2784
42.,Otis Thorpe,2774
43.,Shawn Kemp,2766
44.,Ray Allen*,2709
45.,Giannis Antetokounmpo,2701
46.,Dominique Wilkins*,2669
47.,Terry Porter,2666
48.,Jerry Stackhouse,2641
49.,Pau Gasol*,2638
50.,Kyle Lowry,2632
51.,Vince Carter*,2590
52.,Rajon Rondo,2586
,Jack Sikma*,2586
54.,Mitch Richmond*,2579
55.,Tom Chambers,2549
56.,Stephon Marbury,2547
57.,Walter Davis*,2541
,Damian Lillard,2541
59.,Kareem Abdul-Jabbar*,2527
60.,Kevin Willis,2520
61.,Antoine Walker,2504
62.,Adrian Dantley*,2503
63.,Clifford Robinson,2502
64.,Dirk Nowitzki*,2494
65.,Paul George,2487
66.,Tim Hardaway*,2481
67.,Jamal Crawford,2476
68.,DeMar DeRozan,2475
69.,Vlade Divac*,2470
70.,Juwan Howard,2469
71.,Grant Hill*,2459
72.,Joe Johnson,2451
73.,Latrell Sprewell,2450
74.,Dennis Johnson*,2448
75.,Nikola Jokic,2419
76.,Sam Cassell,2418
77.,David Robinson*,2417
78.,Jason Terry,2415
79.,John Wall,2412
80.,Reggie Miller*,2409
81.,Deron Williams,2402
82.,Norm Nixon,2368
83.,Artis Gilmore*,2347
84.,Derek Harper,2334
85.,Julius Erving*,2323
86.,Chris Mullin*,2315
87.,Chris Webber*,2313
88.,Baron Davis,2308
89.,Mark Aguirre,2306
90.,Zach Randolph,2290
91.,Maurice Cheeks*,2268
,Detlef Schrempf,2268
93.,Kevin Johnson,2258
94.,Lamar Odom,2253
95.,Sleepy Floyd,2251
,Ron Harper,2251
97.,Monta Ellis,2246
98.,Rudy Gay,2245
99.,Andre Iguodala,2240
100.,Devin Booker,2236
101.,Mike Conley,2214
102.,Julius Randle,2211
103.,Alonzo Mourning*,2209
104.,Draymond Green,2208
105.,Terry Cummings,2200
106.,Josh Smith,2197
107.,Alvan Adams,2194
